object_id,original_ids,num_segments,duration_frames,final_class,mean_confidence
1,"1,2",2,76,Bead,0.509
3,"3,4,5",3,110,Bead,0.579
7,7,1,25,Frag,1.207
8,8,1,62,Frag,0.842
9,"9,10,12,13,14",5,49,Bead,0.561
16,"16,18,19,20,21,22",6,33,Frag,1.035
30,"30,31,34",3,84,Bead,0.557
32,"32,33,35,36",4,45,Bead,0.595
37,"37,38,39,40",4,44,Frag,0.571
41,41,1,28,Organic,0.427
42,"42,43,44,45,46,48",6,39,Bead,0.393
50,"50,51,52",3,88,Frag,0.611
53,53,1,87,Frag,0.775
54,"54,57,58",3,91,Frag,0.961
55,"55,56,59,60,61,62",6,58,Bead,0.407
63,"63,64",2,94,Bead,0.546
