object_id,original_ids,num_segments,duration_frames,final_class,mean_confidence
1,"1,2,3,4",4,41,Bead,0.597
5,5,1,85,Bead,0.6
7,"7,8",2,55,Frag,0.756
12,"12,14",2,27,Bead,0.379
20,"20,23,26,28",4,76,Bead,0.538
31,"31,34,37,39,42",5,62,Bead,0.481
32,"32,36,38,40,41",5,54,Frag,0.564
35,35,1,28,Bead,0.528
46,"46,47,48,50,51",5,50,Bead,0.585
49,"49,52",2,41,Frag,0.385
53,"53,54,55,56,57",5,45,Frag,0.492
59,"59,60,62",3,20,Bead,0.528
61,"61,63,64,65,66,68,69",7,43,Bead,0.542
67,"67,70,71,72",4,57,Bead,0.596
75,"75,77,80,81",4,74,Frag,0.378
78,"78,82,83,84",4,37,Bead,0.574
79,79,1,51,Frag,0.412
85,"85,87,89,93",4,54,Bead,0.587
86,"86,90",2,26,Bead,0.555
91,"91,92",2,66,Bead,0.6
94,"94,95,96,97,98,99",6,33,Bead,0.568
100,"100,104",2,89,Bead,0.554
102,102,1,79,Bead,0.446
103,103,1,23,Bead,0.537
109,"109,113,114,115",4,76,Bead,0.596
116,"116,117,118",3,41,Bead,0.555
119,119,1,75,Frag,0.491
121,"121,122,123,124,125",5,47,Frag,0.941
128,"128,132,135,138",4,24,Bead,0.597
134,"134,137,139,140,141",5,88,Bead,0.448
152,152,1,82,Bead,0.58
155,"155,156,157,158",4,24,Bead,0.502
159,159,1,62,Bead,0.526
160,"160,161,162",3,39,Bead,0.462
165,165,1,31,Bead,0.588
166,"166,169,170",3,45,Frag,1.165
167,167,1,49,Bead,0.431
171,171,1,26,Bead,0.6
174,"174,180,182",3,84,Frag,0.715
183,183,1,26,Bead,0.484
