object_id,original_ids,num_segments,duration_frames,final_class,mean_confidence
2,"2,3,4",3,83,Bead,0.504
8,"8,10",2,33,Bead,0.571
9,"9,11,12",3,41,Bead,0.528
13,"13,14,15,16,17,18,19",7,60,Bead,0.464
20,20,1,92,Frag,0.411
21,21,1,56,Bead,0.6
23,"23,25,26",3,65,Bead,0.477
24,"24,28",2,27,Bead,0.598
31,"31,32,33,34,35,36,37",7,55,Frag,1.074
38,"38,39",2,20,Frag,1.0
40,40,1,79,Frag,1.087
41,"41,42,43,44,45,46,47,48,50",9,53,Bead,0.494
49,49,1,27,Frag,1.399
52,"52,55,56",3,76,Frag,0.963
60,"60,61",2,85,Bead,0.598
63,"63,64,65",3,100,Frag,0.868
68,"68,69,70,71",4,65,Frag,0.67
73,"73,74",2,91,Frag,0.629
