frame,id,x,y,primary_static_class,primary_static_conf,primary_motion_class,primary_motion_conf,secondary_static_class,secondary_static_conf,secondary_motion_class,secondary_motion_conf
268,1,271,926,,0.000,object,0.826,,0.000,Bead,1.000
269,1,228,929,,0.000,object,0.831,,0.000,Bead,1.000
271,1,171,935,,0.000,object,0.815,,0.000,Bead,0.878
272,1,141,936,,0.000,object,0.839,,0.000,Bead,0.999
273,1,121,934,,0.000,object,0.821,,0.000,Bead,1.000
274,1,116,932,,0.000,object,0.807,,0.000,Bead,1.000
275,1,111,930,,0.000,object,0.801,,0.000,Bead,1.000
276,1,110,927,,0.000,object,0.814,,0.000,Bead,1.000
305,2,111,942,,0.000,object,0.842,,0.000,Bead,1.000
306,2,112,939,,0.000,object,0.917,,0.000,Bead,1.000
307,2,110,934,,0.000,object,0.812,,0.000,Bead,0.999
308,2,107,928,,0.000,object,0.823,,0.000,Bead,1.000
310,2,103,924,,0.000,object,0.804,,0.000,Bead,1.000
313,2,101,915,,0.000,object,0.803,,0.000,Bead,0.942
315,2,104,909,,0.000,object,0.808,,0.000,Bead,0.598
316,2,102,906,,0.000,object,0.816,,0.000,Bead,0.576
317,2,100,899,,0.000,object,0.866,,0.000,Bead,0.913
318,2,96,895,,0.000,object,0.807,,0.000,Bead,1.000
319,2,94,891,,0.000,object,0.820,,0.000,Bead,0.994
320,2,91,889,,0.000,object,0.818,,0.000,Bead,0.923
321,2,89,880,,0.000,object,0.837,,0.000,Bead,0.904
322,2,88,874,,0.000,object,0.865,,0.000,Bead,0.847
323,2,87,867,,0.000,object,0.828,,0.000,Bead,0.753
327,2,96,857,,0.000,object,0.834,,0.000,Bead,0.998
328,2,105,848,,0.000,object,0.874,,0.000,Bead,1.000
329,2,116,838,,0.000,object,0.895,,0.000,Bead,1.000
330,2,137,831,,0.000,object,0.883,,0.000,Bead,1.000
331,2,156,830,,0.000,object,0.850,,0.000,Bead,1.000
332,2,181,829,,0.000,object,0.841,,0.000,Bead,1.000
333,2,215,829,,0.000,object,0.820,,0.000,Bead,1.000
334,2,234,830,,0.000,object,0.839,,0.000,Bead,1.000
335,2,252,832,,0.000,object,0.838,,0.000,Bead,0.986
336,2,265,832,,0.000,object,0.874,,0.000,Bead,1.000
337,2,274,831,,0.000,object,0.807,,0.000,Bead,1.000
338,2,278,830,,0.000,object,0.840,,0.000,Bead,0.999
339,2,284,826,,0.000,object,0.873,,0.000,Bead,1.000
340,2,288,819,,0.000,object,0.891,,0.000,Bead,1.000
341,2,297,807,,0.000,object,0.864,,0.000,Bead,1.000
344,2,297,775,,0.000,object,0.818,,0.000,Bead,0.980
346,2,269,722,,0.000,object,0.825,,0.000,Bead,1.000
347,2,255,720,,0.000,object,0.808,,0.000,Bead,1.000
348,2,234,720,,0.000,object,0.806,,0.000,Bead,1.000
349,2,220,721,,0.000,object,0.838,,0.000,Bead,1.000
350,2,203,724,,0.000,object,0.821,,0.000,Bead,1.000
351,2,182,727,,0.000,object,0.823,,0.000,Bead,1.000
352,2,175,729,,0.000,object,0.844,,0.000,Bead,1.000
353,2,167,732,,0.000,object,0.857,,0.000,Bead,1.000
354,2,163,734,,0.000,object,0.823,,0.000,Bead,1.000
358,2,148,729,,0.000,object,0.810,,0.000,Bead,1.000
359,2,140,723,,0.000,object,0.813,,0.000,Bead,1.000
360,2,131,713,,0.000,object,0.809,,0.000,Bead,1.000
364,2,139,625,,0.000,object,0.846,,0.000,Bead,1.000
365,2,181,616,,0.000,object,0.831,,0.000,Bead,1.000
366,2,214,618,,0.000,object,0.833,,0.000,Bead,0.998
367,2,282,616,,0.000,object,0.836,,0.000,Bead,1.000
368,2,305,602,,0.000,object,0.865,,0.000,Bead,0.999
371,3,290,520,,0.000,object,0.832,,0.000,Bead,0.998
372,3,268,521,,0.000,object,0.867,,0.000,Bead,0.988
373,3,231,521,,0.000,object,0.815,,0.000,Bead,0.958
374,3,203,523,,0.000,object,0.802,,0.000,Frag,0.530
375,3,184,528,,0.000,object,0.828,,0.000,Frag,0.531
376,3,170,525,,0.000,object,0.875,,0.000,Bead,0.998
377,3,158,512,,0.000,object,0.833,,0.000,Bead,1.000
378,3,138,496,,0.000,object,0.867,,0.000,Bead,1.000
382,3,138,418,,0.000,object,0.814,,0.000,Bead,1.000
383,3,152,411,,0.000,object,0.834,,0.000,Bead,0.611
384,3,184,405,,0.000,object,0.833,,0.000,Frag,0.528
385,3,205,403,,0.000,object,0.884,,0.000,Frag,0.934
386,3,229,404,,0.000,object,0.856,,0.000,Frag,1.000
387,3,256,399,,0.000,object,0.818,,0.000,Frag,0.990
388,3,282,387,,0.000,object,0.909,,0.000,Bead,0.803
390,3,297,359,,0.000,object,0.837,,0.000,Frag,0.995
391,3,294,335,,0.000,object,0.831,,0.000,Frag,1.000
392,3,280,318,,0.000,object,0.847,,0.000,Frag,0.983
393,3,264,308,,0.000,object,0.816,,0.000,Frag,0.983
394,3,240,299,,0.000,object,0.844,,0.000,Frag,0.933
395,3,211,297,,0.000,object,0.861,,0.000,Bead,0.893
396,3,188,295,,0.000,object,0.869,,0.000,Bead,1.000
397,3,167,297,,0.000,object,0.834,,0.000,Bead,1.000
398,3,151,294,,0.000,object,0.838,,0.000,Bead,1.000
399,3,134,289,,0.000,object,0.829,,0.000,Bead,1.000
400,3,123,282,,0.000,object,0.845,,0.000,Bead,1.000
401,3,112,271,,0.000,object,0.807,,0.000,Bead,1.000
409,4,104,130,,0.000,object,0.843,,0.000,Bead,1.000
410,4,117,123,,0.000,object,0.856,,0.000,Bead,1.000
412,4,168,114,,0.000,object,0.822,,0.000,Bead,1.000
413,4,192,115,,0.000,object,0.804,,0.000,Bead,1.000
414,4,211,115,,0.000,object,0.853,,0.000,Bead,1.000
415,4,236,114,,0.000,object,0.860,,0.000,Bead,1.000
416,4,246,114,,0.000,object,0.807,,0.000,Bead,0.999
417,4,260,128,,0.000,object,0.843,,0.000,Bead,0.994
517,5,249,926,,0.000,object,0.808,,0.000,Bead,0.861
518,5,220,928,,0.000,object,0.838,,0.000,Bead,0.962
519,5,189,927,,0.000,object,0.830,,0.000,Bead,0.994
520,5,159,925,,0.000,object,0.849,,0.000,Bead,0.992
521,5,138,923,,0.000,object,0.821,,0.000,Organic,0.755
524,5,100,923,,0.000,object,0.804,,0.000,Bead,0.874
567,6,103,901,,0.000,object,0.815,,0.000,Bead,0.931
572,6,125,822,,0.000,object,0.906,,0.000,Bead,1.000
573,6,145,815,,0.000,object,0.816,,0.000,Bead,0.999
582,6,280,724,,0.000,object,0.829,,0.000,Frag,0.636
585,7,189,711,,0.000,object,0.830,,0.000,Bead,0.998
586,7,159,707,,0.000,object,0.843,,0.000,Bead,0.997
587,7,130,694,,0.000,object,0.853,,0.000,Bead,0.961
591,7,117,614,,0.000,object,0.879,,0.000,Bead,0.999
592,7,133,615,,0.000,object,0.815,,0.000,Bead,0.998
593,7,160,616,,0.000,object,0.824,,0.000,Bead,1.000
594,7,173,620,,0.000,object,0.800,,0.000,Bead,0.710
599,7,264,634,,0.000,object,0.859,,0.000,Bead,1.000
600,7,277,633,,0.000,object,0.820,,0.000,Bead,0.999
630,8,290,532,,0.000,object,0.864,,0.000,Bead,0.988
631,8,284,530,,0.000,object,0.803,,0.000,Bead,0.843
633,8,246,522,,0.000,object,0.800,,0.000,Bead,1.000
634,8,206,519,,0.000,object,0.817,,0.000,Bead,1.000
635,8,176,515,,0.000,object,0.816,,0.000,Bead,1.000
636,8,149,509,,0.000,object,0.834,,0.000,Bead,0.999
637,8,134,497,,0.000,object,0.836,,0.000,Bead,0.977
638,8,109,474,,0.000,object,0.812,,0.000,Bead,0.989
641,8,99,415,,0.000,object,0.827,,0.000,Bead,1.000
642,8,111,410,,0.000,object,0.837,,0.000,Bead,0.899
643,8,131,409,,0.000,object,0.801,,0.000,Bead,1.000
644,8,161,411,,0.000,object,0.813,,0.000,Bead,1.000
645,8,189,420,,0.000,object,0.840,,0.000,Bead,1.000
646,8,209,423,,0.000,object,0.822,,0.000,Bead,0.917
653,9,142,894,,0.000,object,0.834,,0.000,Bead,0.909
655,10,270,424,,0.000,object,0.871,,0.000,Bead,0.860
656,9,123,821,,0.000,object,0.855,,0.000,Bead,1.000
657,9,147,818,,0.000,object,0.850,,0.000,Bead,0.998
657,10,286,417,,0.000,object,0.828,,0.000,Organic,0.734
658,10,292,415,,0.000,object,0.887,,0.000,Bead,0.934
659,10,300,403,,0.000,object,0.815,,0.000,Bead,0.996
661,10,300,384,,0.000,object,0.812,,0.000,Bead,1.000
662,10,295,363,,0.000,object,0.854,,0.000,Bead,1.000
663,10,291,349,,0.000,object,0.851,,0.000,Bead,1.000
663,11,272,804,,0.000,object,0.842,,0.000,Frag,0.999
664,10,281,333,,0.000,object,0.832,,0.000,Bead,1.000
665,10,272,322,,0.000,object,0.862,,0.000,Bead,1.000
666,10,262,314,,0.000,object,0.852,,0.000,Bead,0.999
669,10,203,307,,0.000,object,0.809,,0.000,Bead,1.000
672,10,161,299,,0.000,object,0.851,,0.000,Bead,1.000
673,10,147,291,,0.000,object,0.819,,0.000,Bead,0.999
674,10,135,281,,0.000,object,0.853,,0.000,Bead,1.000
675,10,122,267,,0.000,object,0.820,,0.000,Bead,1.000
676,10,113,253,,0.000,object,0.809,,0.000,Bead,1.000
678,12,153,709,,0.000,object,0.835,,0.000,Bead,0.986
678,10,102,222,,0.000,object,0.805,,0.000,Bead,1.000
679,10,100,204,,0.000,object,0.817,,0.000,Bead,1.000
681,10,113,173,,0.000,object,0.844,,0.000,Bead,1.000
682,12,132,666,,0.000,object,0.813,,0.000,Bead,0.998
686,12,161,637,,0.000,object,0.815,,0.000,Bead,0.998
688,12,206,627,,0.000,object,0.811,,0.000,Bead,0.985
690,12,253,625,,0.000,object,0.814,,0.000,Bead,0.671
691,12,270,620,,0.000,object,0.848,,0.000,Frag,0.496
697,12,293,563,,0.000,object,0.808,,0.000,Bead,0.813
702,12,266,532,,0.000,object,0.809,,0.000,Bead,0.989
706,12,175,523,,0.000,object,0.825,,0.000,Bead,1.000
707,12,159,520,,0.000,object,0.831,,0.000,Bead,0.999
709,12,126,504,,0.000,object,0.838,,0.000,Bead,0.999
710,12,110,497,,0.000,object,0.848,,0.000,Bead,1.000
711,12,99,484,,0.000,object,0.822,,0.000,Bead,1.000
712,12,98,472,,0.000,object,0.841,,0.000,Bead,0.999
713,12,99,464,,0.000,object,0.839,,0.000,Bead,0.996
714,12,104,451,,0.000,object,0.837,,0.000,Bead,0.996
715,12,110,436,,0.000,object,0.865,,0.000,Bead,0.999
716,12,117,424,,0.000,object,0.847,,0.000,Bead,1.000
717,12,129,417,,0.000,object,0.888,,0.000,Bead,1.000
720,12,182,423,,0.000,object,0.815,,0.000,Bead,1.000
727,12,299,385,,0.000,object,0.802,,0.000,Bead,0.757
729,12,290,351,,0.000,object,0.888,,0.000,Bead,0.942
730,12,291,339,,0.000,object,0.827,,0.000,Frag,0.614
731,12,285,327,,0.000,object,0.862,,0.000,Bead,0.880
732,12,279,317,,0.000,object,0.839,,0.000,Bead,0.966
733,12,273,312,,0.000,object,0.832,,0.000,Bead,0.601
734,12,264,307,,0.000,object,0.907,,0.000,Bead,0.677
736,12,234,301,,0.000,object,0.807,,0.000,Bead,0.975
737,12,206,306,,0.000,object,0.812,,0.000,Bead,0.995
738,12,184,298,,0.000,object,0.822,,0.000,Bead,0.988
739,12,171,294,,0.000,object,0.838,,0.000,Bead,0.993
740,12,157,292,,0.000,object,0.842,,0.000,Bead,0.997
741,12,140,283,,0.000,object,0.897,,0.000,Bead,0.981
742,12,128,273,,0.000,object,0.873,,0.000,Bead,0.982
