frame,id,x,y,primary_static_class,primary_static_conf,primary_motion_class,primary_motion_conf,secondary_static_class,secondary_static_conf,secondary_motion_class,secondary_motion_conf
204,1,271,859,Bead,0.799,,0.000,,0.000,,0.000
205,1,217,853,Bead,0.757,,0.000,,0.000,,0.000
206,1,177,847,Bead,0.828,,0.000,,0.000,,0.000
207,1,137,842,Bead,0.802,,0.000,,0.000,,0.000
208,1,96,820,Bead,0.760,,0.000,,0.000,,0.000
209,1,75,799,Bead,0.797,,0.000,,0.000,,0.000
210,1,86,782,Bead,0.835,,0.000,,0.000,,0.000
211,1,103,768,Bead,0.800,,0.000,,0.000,,0.000
212,1,123,761,Bead,0.867,,0.000,,0.000,,0.000
213,1,144,761,Bead,0.849,,0.000,,0.000,,0.000
214,1,162,762,Bead,0.860,,0.000,,0.000,,0.000
215,1,179,763,Bead,0.868,,0.000,,0.000,,0.000
216,1,195,764,Bead,0.828,,0.000,,0.000,,0.000
217,1,209,763,Bead,0.783,,0.000,,0.000,,0.000
218,1,224,757,Bead,0.752,,0.000,,0.000,,0.000
219,1,240,749,Bead,0.876,,0.000,,0.000,,0.000
220,1,251,747,,0.000,Frag,0.863,,0.000,,0.000
223,1,249,698,,0.000,Frag,0.828,,0.000,,0.000
225,1,238,654,,0.000,Frag,0.781,,0.000,,0.000
226,1,226,645,,0.000,Frag,0.772,,0.000,,0.000
227,1,162,641,Bead,0.720,,0.000,,0.000,,0.000
228,1,127,637,Bead,0.755,,0.000,,0.000,,0.000
229,1,104,617,Bead,0.763,,0.000,,0.000,,0.000
230,1,100,585,Bead,0.762,,0.000,,0.000,,0.000
231,1,113,561,Bead,0.823,,0.000,,0.000,,0.000
232,1,130,543,Bead,0.807,,0.000,,0.000,,0.000
234,1,194,546,Bead,0.715,,0.000,,0.000,,0.000
235,1,151,555,,0.000,Frag,0.707,,0.000,,0.000
236,1,246,546,Bead,0.793,,0.000,,0.000,,0.000
240,2,251,468,Bead,0.773,,0.000,,0.000,,0.000
241,2,226,464,Bead,0.795,,0.000,,0.000,,0.000
242,2,200,467,Bead,0.770,,0.000,,0.000,,0.000
243,2,185,471,Bead,0.715,,0.000,,0.000,,0.000
247,2,156,477,Bead,0.744,,0.000,,0.000,,0.000
248,2,150,474,Bead,0.834,,0.000,,0.000,,0.000
249,2,142,472,Bead,0.852,,0.000,,0.000,,0.000
250,2,135,469,Bead,0.886,,0.000,,0.000,,0.000
251,2,126,466,Bead,0.838,,0.000,,0.000,,0.000
252,2,119,462,Bead,0.858,,0.000,,0.000,,0.000
253,2,110,454,Bead,0.801,,0.000,,0.000,,0.000
254,2,102,441,Bead,0.808,,0.000,,0.000,,0.000
255,2,93,421,Bead,0.858,,0.000,,0.000,,0.000
256,2,89,395,Bead,0.829,,0.000,,0.000,,0.000
257,2,93,373,Bead,0.823,,0.000,,0.000,,0.000
258,2,100,353,Bead,0.801,,0.000,,0.000,,0.000
259,2,112,356,Bead,0.769,,0.000,,0.000,,0.000
260,2,135,357,Bead,0.814,,0.000,,0.000,,0.000
261,2,164,362,Bead,0.845,,0.000,,0.000,,0.000
262,2,189,367,Bead,0.838,,0.000,,0.000,,0.000
263,2,213,370,Bead,0.781,,0.000,,0.000,,0.000
264,2,233,371,Bead,0.801,,0.000,,0.000,,0.000
265,2,251,371,Bead,0.756,,0.000,,0.000,,0.000
266,2,267,368,Bead,0.712,,0.000,,0.000,,0.000
267,2,288,362,Bead,0.760,,0.000,,0.000,,0.000
277,3,260,241,Frag,0.709,,0.000,,0.000,,0.000
279,3,220,254,Bead,0.770,,0.000,,0.000,,0.000
280,3,202,261,Bead,0.760,,0.000,,0.000,,0.000
281,3,185,266,Bead,0.859,,0.000,,0.000,,0.000
282,3,172,269,Bead,0.842,,0.000,,0.000,,0.000
283,3,159,271,Bead,0.826,,0.000,,0.000,,0.000
284,3,151,272,Bead,0.799,,0.000,,0.000,,0.000
285,3,146,271,Bead,0.834,,0.000,,0.000,,0.000
286,3,140,269,Bead,0.844,,0.000,,0.000,,0.000
287,3,135,264,Bead,0.815,,0.000,,0.000,,0.000
288,3,132,257,Bead,0.749,,0.000,,0.000,,0.000
289,3,128,252,Bead,0.765,,0.000,,0.000,,0.000
290,3,124,246,Bead,0.738,,0.000,,0.000,,0.000
295,3,113,209,,0.000,Frag,0.714,,0.000,,0.000
296,3,111,197,,0.000,Frag,0.726,,0.000,,0.000
297,3,109,184,,0.000,Frag,0.822,,0.000,,0.000
528,4,305,862,,0.000,Frag,0.807,,0.000,,0.000
531,5,184,858,Organic,0.776,,0.000,,0.000,,0.000
532,5,148,854,Organic,0.731,,0.000,,0.000,,0.000
533,5,119,846,Bead,0.754,,0.000,,0.000,,0.000
534,5,97,834,Bead,0.773,,0.000,,0.000,,0.000
535,5,82,820,Bead,0.738,,0.000,,0.000,,0.000
536,5,97,815,Bead,0.723,Frag,0.752,,0.000,,0.000
537,5,88,774,Bead,0.786,,0.000,,0.000,,0.000
538,5,98,761,Bead,0.851,,0.000,,0.000,,0.000
539,5,113,754,Bead,0.848,,0.000,,0.000,,0.000
540,5,127,750,Bead,0.776,,0.000,,0.000,,0.000
541,5,142,750,Bead,0.799,,0.000,,0.000,,0.000
542,5,161,751,Bead,0.770,,0.000,,0.000,,0.000
543,5,176,755,Bead,0.905,,0.000,,0.000,,0.000
544,5,187,758,Bead,0.885,,0.000,,0.000,,0.000
545,5,202,757,Bead,0.869,,0.000,,0.000,,0.000
551,5,259,739,,0.000,Frag,0.818,,0.000,,0.000
555,5,256,667,Bead,0.730,,0.000,,0.000,,0.000
557,5,209,653,Frag,0.708,,0.000,,0.000,,0.000
558,5,183,649,Bead,0.783,,0.000,,0.000,,0.000
559,5,162,648,Bead,0.741,,0.000,,0.000,,0.000
563,5,79,607,Bead,0.754,,0.000,,0.000,,0.000
564,5,77,590,Bead,0.798,,0.000,,0.000,,0.000
565,5,77,580,Bead,0.820,,0.000,,0.000,,0.000
566,5,79,573,Bead,0.823,,0.000,,0.000,,0.000
567,5,84,571,Bead,0.806,,0.000,,0.000,,0.000
568,5,92,567,Bead,0.828,,0.000,,0.000,,0.000
569,5,104,563,Bead,0.830,,0.000,,0.000,,0.000
570,5,120,562,Bead,0.801,,0.000,,0.000,,0.000
571,5,139,561,Bead,0.758,,0.000,,0.000,,0.000
572,5,162,566,Bead,0.852,,0.000,,0.000,,0.000
573,5,181,569,Bead,0.794,,0.000,,0.000,,0.000
574,5,196,572,Bead,0.845,,0.000,,0.000,,0.000
575,5,212,573,Bead,0.792,,0.000,,0.000,,0.000
576,5,225,572,Bead,0.782,,0.000,,0.000,,0.000
577,5,237,571,Bead,0.798,,0.000,,0.000,,0.000
578,5,247,568,Bead,0.827,,0.000,,0.000,,0.000
579,5,255,565,Bead,0.749,,0.000,,0.000,,0.000
581,5,265,559,,0.000,Frag,0.717,,0.000,,0.000
582,5,268,554,,0.000,Frag,0.707,,0.000,,0.000
589,5,303,506,Bead,0.707,,0.000,,0.000,,0.000
591,5,294,479,Bead,0.758,,0.000,,0.000,,0.000
593,5,262,457,Bead,0.759,,0.000,,0.000,,0.000
594,5,238,456,Bead,0.799,,0.000,,0.000,,0.000
598,5,154,474,Bead,0.717,,0.000,,0.000,,0.000
599,5,139,471,Bead,0.754,,0.000,,0.000,,0.000
600,5,127,468,Bead,0.769,,0.000,,0.000,,0.000
601,5,122,463,Bead,0.832,,0.000,,0.000,,0.000
602,5,118,459,Bead,0.782,,0.000,,0.000,,0.000
603,5,112,450,Bead,0.786,,0.000,,0.000,,0.000
604,5,107,436,Bead,0.783,,0.000,,0.000,,0.000
605,5,104,419,Bead,0.766,,0.000,,0.000,,0.000
606,5,106,392,Bead,0.841,,0.000,,0.000,,0.000
607,5,114,376,Bead,0.848,,0.000,,0.000,,0.000
608,5,134,362,Bead,0.770,,0.000,,0.000,,0.000
