frame,id,x,y,primary_static_class,primary_static_conf,primary_motion_class,primary_motion_conf,secondary_static_class,secondary_static_conf,secondary_motion_class,secondary_motion_conf
267,1,298,925,Bead,0.878,,0.000,,0.000,,0.000
268,1,246,928,Bead,0.836,,0.000,,0.000,,0.000
269,1,204,931,Bead,0.807,,0.000,,0.000,,0.000
270,1,168,934,Bead,0.815,,0.000,,0.000,,0.000
271,1,139,933,Bead,0.827,,0.000,,0.000,,0.000
272,1,116,933,Bead,0.733,,0.000,,0.000,,0.000
274,1,104,930,Bead,0.704,,0.000,,0.000,,0.000
275,1,108,925,Bead,0.824,,0.000,,0.000,,0.000
276,1,108,925,Bead,0.825,,0.000,,0.000,,0.000
277,1,105,926,Bead,0.795,,0.000,,0.000,,0.000
278,1,102,929,Bead,0.726,,0.000,,0.000,,0.000
279,1,101,929,Bead,0.708,,0.000,,0.000,,0.000
280,1,101,930,Bead,0.704,,0.000,,0.000,,0.000
285,1,100,930,Bead,0.709,,0.000,,0.000,,0.000
286,1,100,930,Bead,0.703,,0.000,,0.000,,0.000
287,1,100,929,Bead,0.727,,0.000,,0.000,,0.000
288,1,100,929,Bead,0.712,,0.000,,0.000,,0.000
289,1,100,929,Bead,0.739,,0.000,,0.000,,0.000
290,1,100,930,Bead,0.718,,0.000,,0.000,,0.000
291,1,100,935,Bead,0.742,,0.000,,0.000,,0.000
292,1,100,938,Bead,0.767,,0.000,,0.000,,0.000
293,1,100,940,Bead,0.757,,0.000,,0.000,,0.000
294,1,101,941,Bead,0.746,,0.000,,0.000,,0.000
295,1,100,942,Bead,0.757,,0.000,,0.000,,0.000
296,1,100,941,Bead,0.746,,0.000,,0.000,,0.000
297,1,100,939,Bead,0.774,,0.000,,0.000,,0.000
298,1,100,939,Bead,0.773,,0.000,,0.000,,0.000
299,1,100,939,Bead,0.787,,0.000,,0.000,,0.000
300,1,101,942,Bead,0.786,,0.000,,0.000,,0.000
301,1,101,946,Bead,0.739,,0.000,,0.000,,0.000
303,1,104,949,Bead,0.704,,0.000,,0.000,,0.000
304,1,107,948,Bead,0.786,,0.000,,0.000,,0.000
307,1,105,932,Bead,0.778,,0.000,,0.000,,0.000
308,1,101,926,Bead,0.770,,0.000,,0.000,,0.000
309,1,98,925,Bead,0.758,,0.000,,0.000,,0.000
310,1,96,925,Bead,0.734,,0.000,,0.000,,0.000
311,1,96,922,Bead,0.727,,0.000,,0.000,,0.000
312,1,98,917,Bead,0.746,,0.000,,0.000,,0.000
317,1,100,903,Bead,0.721,,0.000,,0.000,,0.000
319,1,110,896,,0.000,Frag,0.828,,0.000,,0.000
320,1,110,892,,0.000,Frag,0.796,,0.000,,0.000
322,1,107,881,,0.000,Frag,0.782,,0.000,,0.000
326,1,87,870,Bead,0.746,,0.000,,0.000,,0.000
327,1,94,862,Bead,0.806,,0.000,,0.000,,0.000
328,1,103,849,Bead,0.831,,0.000,,0.000,,0.000
329,1,123,834,Bead,0.882,,0.000,,0.000,,0.000
330,1,150,824,Bead,0.872,,0.000,,0.000,,0.000
331,1,179,825,Bead,0.880,,0.000,,0.000,,0.000
332,1,204,826,Bead,0.824,,0.000,,0.000,,0.000
333,1,228,827,Bead,0.864,,0.000,,0.000,,0.000
334,1,249,828,Bead,0.874,,0.000,,0.000,,0.000
335,1,263,831,Bead,0.890,,0.000,,0.000,,0.000
336,1,276,831,Bead,0.845,,0.000,,0.000,,0.000
337,1,281,830,Bead,0.791,,0.000,,0.000,,0.000
338,1,282,828,Bead,0.798,,0.000,,0.000,,0.000
339,1,286,824,Bead,0.738,,0.000,,0.000,,0.000
340,1,293,816,Bead,0.771,,0.000,,0.000,,0.000
341,1,297,802,Bead,0.819,,0.000,,0.000,,0.000
342,1,299,786,Bead,0.733,,0.000,,0.000,,0.000
343,1,295,765,Bead,0.780,,0.000,,0.000,,0.000
344,1,287,743,Bead,0.751,,0.000,,0.000,,0.000
345,1,274,727,Bead,0.879,,0.000,,0.000,,0.000
346,1,255,717,Bead,0.879,,0.000,,0.000,,0.000
347,1,238,718,Bead,0.887,,0.000,,0.000,,0.000
348,1,218,719,Bead,0.851,,0.000,,0.000,,0.000
349,1,200,721,Bead,0.854,,0.000,,0.000,,0.000
350,1,183,726,Bead,0.866,,0.000,,0.000,,0.000
351,1,171,728,Bead,0.869,,0.000,,0.000,,0.000
352,1,164,730,Bead,0.877,,0.000,,0.000,,0.000
353,1,158,733,Bead,0.849,,0.000,,0.000,,0.000
354,1,154,733,Bead,0.867,,0.000,,0.000,,0.000
355,1,152,734,Bead,0.867,,0.000,,0.000,,0.000
356,1,150,732,Bead,0.833,,0.000,,0.000,,0.000
357,1,146,731,Bead,0.891,,0.000,,0.000,,0.000
358,1,140,727,Bead,0.872,,0.000,,0.000,,0.000
359,1,129,719,Bead,0.846,,0.000,,0.000,,0.000
360,1,120,705,Bead,0.856,,0.000,,0.000,,0.000
361,1,111,685,Bead,0.820,,0.000,,0.000,,0.000
362,1,112,659,Bead,0.793,,0.000,,0.000,,0.000
363,1,121,634,Bead,0.865,,0.000,,0.000,,0.000
364,1,152,618,Bead,0.870,,0.000,,0.000,,0.000
365,1,203,612,Bead,0.840,,0.000,,0.000,,0.000
366,1,254,620,Bead,0.798,,0.000,,0.000,,0.000
367,1,296,613,Bead,0.775,,0.000,,0.000,,0.000
368,1,314,588,Bead,0.769,,0.000,,0.000,,0.000
369,1,322,557,Bead,0.737,,0.000,,0.000,,0.000
370,1,305,527,Bead,0.732,,0.000,,0.000,,0.000
371,1,271,511,Bead,0.805,,0.000,,0.000,,0.000
372,1,228,515,Bead,0.818,,0.000,,0.000,,0.000
373,1,200,522,Bead,0.780,,0.000,,0.000,,0.000
374,1,182,527,Bead,0.868,,0.000,,0.000,,0.000
375,1,168,527,Bead,0.812,,0.000,,0.000,,0.000
376,1,156,519,Bead,0.870,,0.000,,0.000,,0.000
377,1,142,508,Bead,0.825,,0.000,,0.000,,0.000
378,1,128,491,Bead,0.822,,0.000,,0.000,,0.000
379,1,120,468,Bead,0.784,,0.000,,0.000,,0.000
380,1,122,443,Bead,0.829,,0.000,,0.000,,0.000
381,1,128,424,Bead,0.802,,0.000,,0.000,,0.000
382,1,146,409,Bead,0.824,,0.000,,0.000,,0.000
392,1,283,306,Frag,0.822,,0.000,,0.000,,0.000
393,1,257,293,Frag,0.865,,0.000,,0.000,,0.000
394,1,223,292,Frag,0.818,,0.000,,0.000,,0.000
402,2,94,251,Bead,0.785,,0.000,,0.000,,0.000
403,2,88,238,Bead,0.739,,0.000,,0.000,,0.000
404,2,83,221,Bead,0.731,,0.000,,0.000,,0.000
405,2,82,198,Bead,0.704,,0.000,,0.000,,0.000
412,3,186,107,Bead,0.793,,0.000,,0.000,,0.000
413,3,209,110,Bead,0.767,,0.000,,0.000,,0.000
414,3,233,111,Bead,0.792,,0.000,,0.000,,0.000
415,3,250,118,Bead,0.805,,0.000,,0.000,,0.000
516,4,281,928,Bead,0.773,,0.000,,0.000,,0.000
519,5,174,925,Bead,0.714,,0.000,,0.000,,0.000
568,5,110,893,,0.000,Frag,0.765,,0.000,,0.000
570,5,101,865,,0.000,Frag,0.815,,0.000,,0.000
571,5,118,829,Bead,0.703,,0.000,,0.000,,0.000
572,5,136,820,Bead,0.797,,0.000,,0.000,,0.000
585,6,179,709,Bead,0.791,,0.000,,0.000,,0.000
586,6,146,706,Bead,0.857,,0.000,,0.000,,0.000
587,6,122,686,Bead,0.775,,0.000,,0.000,,0.000
589,6,117,655,Bead,0.801,Frag,0.867,,0.000,,0.000
590,6,114,616,Bead,0.742,,0.000,,0.000,,0.000
603,7,323,611,Organic,0.729,,0.000,,0.000,,0.000
604,7,328,608,Organic,0.732,,0.000,,0.000,,0.000
605,7,331,603,Organic,0.785,,0.000,,0.000,,0.000
606,7,333,600,Organic,0.801,,0.000,,0.000,,0.000
607,7,334,595,Organic,0.725,,0.000,,0.000,,0.000
609,7,333,590,Organic,0.720,,0.000,,0.000,,0.000
610,7,334,590,Organic,0.709,,0.000,,0.000,,0.000
611,7,334,590,Organic,0.765,,0.000,,0.000,,0.000
612,7,334,590,Organic,0.783,,0.000,,0.000,,0.000
613,7,334,590,Organic,0.775,,0.000,,0.000,,0.000
614,7,334,590,Organic,0.770,,0.000,,0.000,,0.000
615,7,334,589,Organic,0.779,,0.000,,0.000,,0.000
616,7,334,589,Organic,0.774,,0.000,,0.000,,0.000
617,7,334,589,Organic,0.758,,0.000,,0.000,,0.000
618,7,334,589,Organic,0.760,,0.000,,0.000,,0.000
619,7,334,588,Organic,0.761,,0.000,,0.000,,0.000
620,7,334,588,Organic,0.765,,0.000,,0.000,,0.000
621,7,334,588,Organic,0.750,,0.000,,0.000,,0.000
622,7,335,588,Organic,0.704,,0.000,,0.000,,0.000
631,7,287,517,Organic,0.833,,0.000,,0.000,,0.000
652,8,259,431,Organic,0.715,,0.000,,0.000,,0.000
654,8,278,424,Organic,0.758,,0.000,,0.000,,0.000
655,8,285,419,Organic,0.714,,0.000,,0.000,,0.000
655,9,124,850,,0.000,Frag,0.755,,0.000,,0.000
656,8,293,413,Organic,0.782,,0.000,,0.000,,0.000
657,8,298,407,Organic,0.761,,0.000,,0.000,,0.000
658,8,305,402,Organic,0.809,,0.000,,0.000,,0.000
659,8,309,395,Organic,0.760,,0.000,,0.000,,0.000
660,8,310,385,Organic,0.747,,0.000,,0.000,,0.000
664,8,292,321,Organic,0.765,,0.000,,0.000,,0.000
667,8,228,301,Organic,0.725,,0.000,,0.000,,0.000
668,8,209,302,Organic,0.791,,0.000,,0.000,,0.000
672,8,153,294,Organic,0.768,,0.000,,0.000,,0.000
674,8,128,277,Organic,0.727,,0.000,,0.000,,0.000
689,10,243,107,Organic,0.724,,0.000,,0.000,,0.000
691,10,270,117,Organic,0.736,,0.000,,0.000,,0.000
692,10,271,120,Organic,0.714,,0.000,,0.000,,0.000
883,11,111,914,,0.000,Frag,0.838,,0.000,,0.000
902,12,196,831,Bead,0.721,,0.000,,0.000,,0.000
912,12,287,796,,0.000,Frag,0.740,,0.000,,0.000
917,13,218,705,Bead,0.720,,0.000,,0.000,,0.000
918,13,187,702,Bead,0.713,,0.000,,0.000,,0.000
955,14,113,446,Bead,0.804,,0.000,,0.000,,0.000
979,15,201,298,Frag,0.708,,0.000,,0.000,,0.000
1053,16,273,930,,0.000,Frag,0.783,,0.000,,0.000
1055,16,230,918,,0.000,Frag,0.872,,0.000,,0.000
1076,17,269,818,Frag,0.811,,0.000,,0.000,,0.000
1094,18,228,713,Frag,0.725,,0.000,,0.000,,0.000
1107,19,237,611,Organic,0.868,,0.000,,0.000,,0.000
1108,19,259,603,Organic,0.720,,0.000,,0.000,,0.000
1133,20,196,431,Organic,0.722,,0.000,,0.000,,0.000
1137,20,237,429,Organic,0.715,,0.000,,0.000,,0.000
1138,20,248,428,Organic,0.796,,0.000,,0.000,,0.000
1149,21,232,299,,0.000,Frag,0.791,,0.000,,0.000
1522,22,311,926,Bead,0.759,,0.000,,0.000,,0.000
1523,22,261,925,Bead,0.802,,0.000,,0.000,,0.000
1524,22,215,922,Bead,0.824,,0.000,,0.000,,0.000
1525,22,181,917,Bead,0.794,,0.000,,0.000,,0.000
1526,22,147,914,Bead,0.857,,0.000,,0.000,,0.000
1527,22,122,903,Bead,0.843,,0.000,,0.000,,0.000
1528,22,102,888,Bead,0.751,,0.000,,0.000,,0.000
1529,22,91,868,Bead,0.839,,0.000,,0.000,,0.000
1530,22,93,847,Bead,0.829,,0.000,,0.000,,0.000
1531,22,102,823,Bead,0.861,,0.000,,0.000,,0.000
1532,22,120,812,Bead,0.802,,0.000,,0.000,,0.000
1533,22,141,817,Bead,0.838,,0.000,,0.000,,0.000
1534,22,165,822,Bead,0.848,,0.000,,0.000,,0.000
1535,22,189,830,Bead,0.849,,0.000,,0.000,,0.000
1536,22,206,835,Bead,0.736,,0.000,,0.000,,0.000
1538,22,236,837,Bead,0.728,,0.000,,0.000,,0.000
1540,22,263,833,Bead,0.758,,0.000,,0.000,,0.000
1541,22,274,833,Bead,0.807,,0.000,,0.000,,0.000
1542,22,283,832,Bead,0.810,,0.000,,0.000,,0.000
1543,22,293,832,Bead,0.835,,0.000,,0.000,,0.000
1544,22,303,829,Bead,0.875,,0.000,,0.000,,0.000
1545,22,315,825,Bead,0.837,,0.000,,0.000,,0.000
1546,22,322,817,Bead,0.843,,0.000,,0.000,,0.000
1565,23,278,729,,0.000,Frag,0.708,,0.000,,0.000
1566,23,239,718,Bead,0.811,,0.000,,0.000,,0.000
1567,23,215,723,Bead,0.819,,0.000,,0.000,,0.000
1568,23,195,725,Bead,0.759,,0.000,,0.000,,0.000
1569,23,174,724,Bead,0.830,,0.000,,0.000,,0.000
1570,23,154,723,Bead,0.858,,0.000,,0.000,,0.000
1571,23,139,716,Bead,0.805,,0.000,,0.000,,0.000
1572,23,123,708,Bead,0.780,,0.000,,0.000,,0.000
1573,23,112,695,Bead,0.815,,0.000,,0.000,,0.000
1574,23,100,681,Bead,0.830,,0.000,,0.000,,0.000
1575,23,98,666,Bead,0.791,,0.000,,0.000,,0.000
1576,23,97,650,Bead,0.865,,0.000,,0.000,,0.000
1577,23,101,633,Bead,0.854,,0.000,,0.000,,0.000
1578,23,111,621,Bead,0.796,,0.000,,0.000,,0.000
1579,23,119,617,Bead,0.810,,0.000,,0.000,,0.000
1580,23,133,617,Bead,0.882,,0.000,,0.000,,0.000
1581,23,155,617,Bead,0.905,,0.000,,0.000,,0.000
1582,23,183,620,Bead,0.907,,0.000,,0.000,,0.000
1583,23,209,624,Bead,0.820,,0.000,,0.000,,0.000
1584,23,222,631,Bead,0.757,,0.000,,0.000,,0.000
1585,23,241,633,Bead,0.823,,0.000,,0.000,,0.000
1586,23,253,635,Bead,0.828,,0.000,,0.000,,0.000
1587,23,262,635,Bead,0.865,,0.000,,0.000,,0.000
1588,23,267,634,Bead,0.871,,0.000,,0.000,,0.000
1589,23,269,631,Bead,0.813,,0.000,,0.000,,0.000
1590,23,275,625,Bead,0.823,,0.000,,0.000,,0.000
1591,23,280,616,Bead,0.806,,0.000,,0.000,,0.000
1592,23,287,607,Bead,0.820,,0.000,,0.000,,0.000
1593,23,292,591,Bead,0.819,,0.000,,0.000,,0.000
1594,23,298,575,Bead,0.808,,0.000,,0.000,,0.000
1595,23,299,556,Bead,0.793,,0.000,,0.000,,0.000
1596,23,286,535,Bead,0.816,,0.000,,0.000,,0.000
1597,23,268,517,Bead,0.839,,0.000,,0.000,,0.000
1598,23,234,509,Bead,0.814,,0.000,,0.000,,0.000
1599,23,201,507,Bead,0.826,,0.000,,0.000,,0.000
1600,23,169,507,Bead,0.822,,0.000,,0.000,,0.000
1601,23,138,498,Bead,0.823,,0.000,,0.000,,0.000
1602,23,110,481,Bead,0.794,,0.000,,0.000,,0.000
1603,23,94,458,Bead,0.823,,0.000,,0.000,,0.000
1604,23,83,435,Bead,0.762,,0.000,,0.000,,0.000
1605,23,83,416,Bead,0.725,,0.000,,0.000,,0.000
1606,23,88,410,Bead,0.752,,0.000,,0.000,,0.000
1607,23,95,412,Bead,0.759,,0.000,,0.000,,0.000
1608,23,109,411,Bead,0.763,,0.000,,0.000,,0.000
