frame,id,x,y,primary_static_class,primary_static_conf,primary_motion_class,primary_motion_conf,secondary_static_class,secondary_static_conf,secondary_motion_class,secondary_motion_conf
227,1,129,894,Bead,0.730,,0.000,,0.000,,0.000
228,1,118,890,Bead,0.772,,0.000,,0.000,,0.000
230,1,129,865,Bead,0.853,,0.000,,0.000,,0.000
231,1,138,858,Bead,0.792,Frag,0.834,,0.000,,0.000
232,1,141,830,Bead,0.810,,0.000,,0.000,,0.000
233,1,152,814,Bead,0.799,,0.000,,0.000,,0.000
234,1,170,805,Bead,0.867,,0.000,,0.000,,0.000
235,1,190,797,Bead,0.769,,0.000,,0.000,,0.000
236,1,216,795,Bead,0.787,,0.000,,0.000,,0.000
237,1,249,794,Bead,0.685,,0.000,,0.000,,0.000
239,1,300,788,Bead,0.673,,0.000,,0.000,,0.000
245,2,342,726,,0.000,Frag,0.667,,0.000,,0.000
247,2,331,702,,0.000,Frag,0.712,,0.000,,0.000
248,2,321,693,,0.000,Frag,0.813,,0.000,,0.000
250,2,282,685,Bead,0.756,,0.000,,0.000,,0.000
251,2,259,686,Bead,0.834,,0.000,,0.000,,0.000
252,2,236,690,Bead,0.827,,0.000,,0.000,,0.000
253,2,213,694,Bead,0.836,,0.000,,0.000,,0.000
254,2,192,695,Bead,0.839,,0.000,,0.000,,0.000
255,2,175,695,Bead,0.889,,0.000,,0.000,,0.000
256,2,161,690,Bead,0.837,,0.000,,0.000,,0.000
257,2,151,679,Bead,0.830,,0.000,,0.000,,0.000
258,2,140,664,Bead,0.780,,0.000,,0.000,,0.000
259,2,135,645,Bead,0.748,,0.000,,0.000,,0.000
260,2,140,627,Bead,0.811,,0.000,,0.000,,0.000
261,2,148,613,Bead,0.788,,0.000,,0.000,,0.000
262,2,170,601,Bead,0.814,,0.000,,0.000,,0.000
263,2,195,596,Bead,0.811,,0.000,,0.000,,0.000
264,2,221,595,Bead,0.879,,0.000,,0.000,,0.000
265,2,244,595,Bead,0.795,,0.000,,0.000,,0.000
266,2,260,596,Bead,0.826,,0.000,,0.000,,0.000
267,2,277,595,Bead,0.849,,0.000,,0.000,,0.000
268,2,295,587,Bead,0.812,,0.000,,0.000,,0.000
269,2,305,570,Bead,0.754,,0.000,,0.000,,0.000
270,2,304,551,Bead,0.822,,0.000,,0.000,,0.000
271,2,298,525,Bead,0.830,,0.000,,0.000,,0.000
272,2,288,543,Bead,0.784,Frag,0.823,,0.000,,0.000
273,2,254,506,Bead,0.867,,0.000,,0.000,,0.000
274,2,228,507,Bead,0.871,,0.000,,0.000,,0.000
275,2,208,512,Bead,0.804,,0.000,,0.000,,0.000
276,2,194,513,Bead,0.808,,0.000,,0.000,,0.000
277,2,184,512,Bead,0.854,,0.000,,0.000,,0.000
278,2,176,510,Bead,0.882,,0.000,,0.000,,0.000
279,2,169,508,Bead,0.826,,0.000,,0.000,,0.000
280,2,164,503,Bead,0.795,,0.000,,0.000,,0.000
281,2,156,497,Bead,0.851,,0.000,,0.000,,0.000
282,2,150,488,Bead,0.813,,0.000,,0.000,,0.000
283,2,140,474,Bead,0.795,,0.000,,0.000,,0.000
284,2,133,457,Bead,0.794,,0.000,,0.000,,0.000
285,2,131,433,Bead,0.843,,0.000,,0.000,,0.000
286,2,131,412,Bead,0.852,,0.000,,0.000,,0.000
287,2,142,402,Bead,0.856,,0.000,,0.000,,0.000
288,2,157,400,Bead,0.840,,0.000,,0.000,,0.000
289,2,183,404,Bead,0.849,,0.000,,0.000,,0.000
290,2,204,407,Bead,0.736,,0.000,,0.000,,0.000
291,2,220,414,Bead,0.813,,0.000,,0.000,,0.000
293,2,249,417,Bead,0.776,,0.000,,0.000,,0.000
294,2,259,417,Bead,0.829,,0.000,,0.000,,0.000
